analysis,feature_set,layer,layer_pct,auc,auc_std,f1,n,stratum
english_only,surface,,,0.6538112842679521,0.019267558912035705,0.530923969296448,6271,
english_only,behavioural,,,0.8386268183271606,0.01628637753080445,0.7132857503909644,6271,
english_only,prompt_embedding,,,0.8334517415601816,0.038366942563732714,0.7243073219794394,6271,
english_only,hidden_layer_8,8.0,25.806451612903224,0.8869632954339067,0.02555610856472001,0.7839520278108039,6271,
english_only,hidden_layer_16,16.0,51.61290322580645,0.9405109310478281,0.01431823574051384,0.8491048897215455,6271,
english_only,hidden_layer_24,24.0,77.41935483870968,0.9460539977592755,0.010228864365292387,0.8564271052748266,6271,
english_only,hidden_layer_31,31.0,100.0,0.9509383120952117,0.009870208632228842,0.8604195737067242,6271,
per_source_english,hidden_layer_31,31.0,,0.9897865853658536,,,348,advbench
per_source_english,hidden_layer_31,31.0,,0.972863687045769,,,1000,ai_generated
per_source_english,hidden_layer_31,31.0,,0.9191901621125365,,,972,aya_redteaming
per_source_english,hidden_layer_31,31.0,,0.8836351055241609,,,328,chapter2_ai_generated
per_source_english,hidden_layer_31,31.0,,0.9227700068791561,,,935,do_not_answer
per_source_english,hidden_layer_31,31.0,,0.9583058880806461,,,1200,multilingual_safety_en
per_source_english,hidden_layer_31,31.0,,0.8988778086736215,,,1200,wildjailbreak
per_source_english,hidden_layer_31,31.0,,0.9017576898932831,,,195,xstest
loso_english,hidden_layer_31,31.0,,0.9682926829268292,,,348,advbench
loso_english,hidden_layer_31,31.0,,0.9504023428579105,,,1000,ai_generated
loso_english,hidden_layer_31,31.0,,0.9214321954047981,,,972,aya_redteaming
loso_english,hidden_layer_31,31.0,,0.945911659554838,,,328,chapter2_ai_generated
loso_english,hidden_layer_31,31.0,,0.8996698005044715,,,935,do_not_answer
loso_english,hidden_layer_31,31.0,,0.9146715161234893,,,1200,multilingual_safety_en
loso_english,hidden_layer_31,31.0,,0.8380008464009497,,,1200,wildjailbreak
loso_english,hidden_layer_31,31.0,,0.8653483992467044,,,195,xstest
