analysis,feature_set,layer,layer_pct,auc,auc_std,f1,n,stratum
adversarial_subset,surface,,,0.7257699465074303,0.012385580186495706,0.6773427858073908,7301,
adversarial_subset,behavioural,,,0.7586692034322983,0.02989914608060845,0.664111230758156,7301,
adversarial_subset,prompt_embedding,,,0.7907636750334694,0.026088552417411016,0.7277264978754326,7301,
adversarial_subset,hidden_layer_8,8.0,25.806451612903224,0.8414548880079741,0.004586162849594741,0.7596348321541115,7301,
adversarial_subset,hidden_layer_16,16.0,51.61290322580645,0.889096476429291,0.009462525809523099,0.8134281272625076,7301,
adversarial_subset,hidden_layer_24,24.0,77.41935483870968,0.8883962152777274,0.011836598093968524,0.8122456022609168,7301,
adversarial_subset,hidden_layer_31,31.0,100.0,0.8926294910592724,0.013258425082442269,0.8216552246110493,7301,
adversarial_nonlinear,hidden_layer_31,31.0,,0.8991984552801217,0.012728141923798687,0.8288608279476668,7301,
adv_per_language,hidden_layer_31,,,0.7029854463936235,,,694,arabic
adv_per_language,hidden_layer_31,,,0.9260984248183376,,,4244,english
adv_per_language,hidden_layer_31,,,0.7926223895926054,,,392,french
adv_per_language,hidden_layer_31,,,0.6769529974975519,,,930,german
adv_per_language,hidden_layer_31,,,0.682829326141428,,,582,russian
adv_per_language,hidden_layer_31,,,0.8837992246480311,,,459,spanish
adv_loso,hidden_layer_31,,,0.9871850881025193,,,348,advbench
adv_loso,hidden_layer_31,,,0.6954256446485341,,,1248,ai_generated
adv_loso,hidden_layer_31,,,0.754079254079254,,,625,augmented
adv_loso,hidden_layer_31,,,0.8761515605480706,,,1347,aya_redteaming
adv_loso,hidden_layer_31,,,0.6484503299852997,,,1016,chapter2_native_multilingual
adv_loso,hidden_layer_31,,,0.9412020905923345,,,630,do_not_answer
adv_loso,hidden_layer_31,,,0.853132334356382,,,498,multilingual_safety_en
adv_loso,hidden_layer_31,,,0.7714606172650519,,,1173,wildjailbreak
adv_loso,hidden_layer_31,,,0.9972677595628415,,,185,xstest
